name,price,link
"Acer TravelMate TMP214-53 Core i7 11th Gen 14"" FHD Laptop","79,500",https://www.startech.com.bd/acer-travelmate-tmp214-53-core-i7-11th-gen-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 15.6"" FHD Laptop with Windows 11","83,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-12th-gen-15-6-inch-laptop
"Walton Tamarind MX711G Core i7 11th Gen 14"" FHD Laptop","84,500",https://www.startech.com.bd/walton-tamarind-mx711g-core-i7-11th-gen-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 15.6"" FHD Laptop","84,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i5-12th-gen-fhd-laptop
"Acer TravelMate TMP214-53 Core i7 11th Gen 512GB SSD 14"" FHD Laptop","84,900",https://www.startech.com.bd/acer-travelmate-tmp214-53-core-i7-11th-gen-fhd-laptop
"Acer Aspire 7 A715-42G-R2NE Ryzen 5 5500U GTX 1650 4GB Graphics 15.6"" FHD Gaming Laptop","86,000",https://www.startech.com.bd/acer-aspire-7-a715-42g-r2ne-ryzen-5-5500u-gaming-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 15.6"" FHD Laptop Abyss Blue","86,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-12th-gen-laptop
"Samsung Galaxy Book Core i5 11th Gen 15.6"" FHD Laptop","86,000",https://www.startech.com.bd/samsung-galaxy-book-core-i5-11th-gen-laptop
"Asus ExpertBook B1 B1500CEAE Core i5 11th Gen 1TB HDD 15.6"" FHD Laptop","80,500",https://www.startech.com.bd/asus-expertbook-b1-b1500ceae-core-i5-11th-gen-fhd-laptop
"Lenovo IP Slim 3 15ABR8 Ryzen 7 15.6"" FHD Laptop (Ram Not Upgradable)","88,000",https://www.startech.com.bd/lenovo-ideapad-slim-3-15abr8-ryzen-7-7730u-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i7 11th Gen 15.6"" FHD Laptop","88,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i7-11th-gen-laptop
"ASUS Vivobook 15 OLED M1505YA AMD Ryzen 5 15.6"" FHD Laptop","89,000",https://www.startech.com.bd/asus-vivobook-15-oled-m1505ya-amd-ryzen-5-fhd-laptop
"HP ProBook 440 G9 Core i5 12th Gen 14"" FHD Laptop","89,000",https://www.startech.com.bd/hp-probook-440-g9-core-i5-12th-gen-14-inch-laptop
